Cell_ID,Cell_class_id,Cell_class,Cell_class_name
3e92feca-f549-453a-b1e1-b62fccdd5d3a,0,Astrocyte,Astrocyte
910a8bb0-bdee-452b-9bd3-2191b46f88d9,1,Endothelial 1,Endothelial
3c215918-d929-47b6-b78e-9bfe0071a3df,7,OD Mature 2,OD Mature
69bfd8a3-f308-42a7-9fb3-8b2fa8e6a2bf,4,Inhibitory,Inhibitory
4f44b6b6-6d23-4f6b-8d94-0f0fd05d501f,0,Astrocyte,Astrocyte
5bf9e75b-76ba-4119-aa09-2a9dcf42ee3f,6,OD Immature 1,OD Immature
c9ce04b8-d05e-4ec3-ac42-07fb5b3ea25c,0,Astrocyte,Astrocyte
a4f08ac2-23eb-4820-bf6c-f2fac4752780,0,Astrocyte,Astrocyte
81f56e3a-b5de-4914-991f-587f88f229cb,4,Inhibitory,Inhibitory
03f3f7df-4fa6-40b6-a1dc-98785f6f8c45,3,Excitatory,Excitatory
7e2cbb7a-5aed-4a25-a010-a3b097c2a4a3,4,Inhibitory,Inhibitory
fcaa9559-8017-434a-a33d-578f004d35df,3,Excitatory,Excitatory
1c330c76-3853-4b2c-be30-9919af01adab,7,OD Mature 1,OD Mature
dee5e677-7f50-4f92-9c3e-3155d0fbc333,0,Astrocyte,Astrocyte
704610b6-f55d-4ef1-80ea-2c711f0a083a,1,Endothelial 1,Endothelial
dbadd026-85b4-46ef-89fc-bd70b32596e7,0,Astrocyte,Astrocyte
2af3e2b3-459c-46dc-b9fa-b537d02b952b,4,Inhibitory,Inhibitory
ab844f1b-dc0c-49f7-b585-f7b36af6bd8a,3,Excitatory,Excitatory
bad9e6af-9c95-41af-bd8e-81d428b9a26f,3,Excitatory,Excitatory
0e8f2413-8b86-4e46-9a41-c28fffd51ed3,3,Excitatory,Excitatory
2d1abb73-58d0-4fdd-8e34-144cc5e0404f,4,Inhibitory,Inhibitory
00e780c7-df66-436a-8900-e4c05e7ac459,0,Astrocyte,Astrocyte
f44afcb9-cdda-4de3-be64-9bc5e4d91923,0,Astrocyte,Astrocyte
5dbf9992-a549-43e1-8e9b-a8f4fcec3ab3,3,Excitatory,Excitatory
fb9dee6c-b329-4763-99e3-a1ca85a1433d,4,Inhibitory,Inhibitory
ac3c2c6e-36d0-4324-91a4-f55b85db7cd3,5,Microglia,Microglia
91a6f7fe-1749-4592-bfc9-730830947742,4,Inhibitory,Inhibitory
49eec6f4-78ac-417a-a124-ef39379e4599,4,Inhibitory,Inhibitory
848dced4-2f08-4171-865f-fdc69ab44037,0,Astrocyte,Astrocyte
6accc956-3cc7-45f2-a3bd-f012a957b153,1,Endothelial 1,Endothelial
1451546a-727d-48a0-94ad-3381c54735c3,4,Inhibitory,Inhibitory
07cc7a72-57e2-47c6-8d64-1ea091a3c477,4,Inhibitory,Inhibitory
a931cdd4-4742-4878-bdec-5caff79a55df,4,Inhibitory,Inhibitory
577858db-916e-4397-ad3e-960f54014877,4,Inhibitory,Inhibitory
31bb8420-40ee-4aac-b578-ee655e9aa6e8,5,Microglia,Microglia
7ac2bffa-d404-4d28-841d-dfcf9d50543e,4,Inhibitory,Inhibitory
5896dfff-c068-442f-8e0c-ef5a658ebd06,1,Endothelial 3,Endothelial
